city,year,weekofyear,total_cases
sj,2013,6,5
sj,2013,7,20
sj,2013,8,14
sj,2013,9,9
sj,2013,10,18
sj,2013,11,20
sj,2013,12,9
sj,2013,13,1
sj,2013,14,7
sj,2013,15,1
sj,2013,16,5
sj,2013,17,19
iq,2010,26,5
iq,2010,27,3
iq,2010,28,0
iq,2010,29,0
iq,2010,30,3
iq,2010,31,0
iq,2010,32,0
iq,2010,33,0
iq,2010,34,0
iq,2010,35,0
iq,2010,36,1
iq,2010,37,2
iq,2010,38,0
iq,2010,39,0
iq,2010,40,0
iq,2010,41,5
iq,2010,42,0
iq,2010,43,0
iq,2010,44,3
iq,2010,45,0
iq,2010,46,0
iq,2010,47,2
iq,2010,48,5
iq,2010,49,1
iq,2010,50,0
iq,2010,51,0
iq,2011,52,1
iq,2011,1,0
iq,2011,2,0
iq,2011,3,0
iq,2011,4,0
iq,2011,5,1
iq,2011,6,0
iq,2011,7,1
iq,2011,8,5
iq,2011,9,11
iq,2011,10,1
iq,2011,11,0
iq,2011,12,0
iq,2011,13,5
iq,2011,14,0
iq,2011,15,2
iq,2011,16,1
iq,2011,17,6
iq,2011,18,4
iq,2011,19,0
iq,2011,20,1
iq,2011,21,1
iq,2011,22,8
iq,2011,23,1
iq,2011,24,0
iq,2011,25,6
iq,2011,26,1
iq,2011,27,1
iq,2011,28,3
iq,2011,29,0
iq,2011,30,1
iq,2011,31,0
iq,2011,32,0
iq,2011,33,9
iq,2011,34,5
iq,2011,35,0
iq,2011,36,9
iq,2011,37,1
iq,2011,38,0
iq,2011,39,6
iq,2011,40,3
iq,2011,41,0
iq,2011,42,4
iq,2011,43,6
iq,2011,44,3
iq,2011,45,5
iq,2011,46,2
iq,2011,47,2
iq,2011,48,5
iq,2011,49,18
iq,2011,50,1
iq,2011,51,6
iq,2012,52,18
iq,2012,1,0
iq,2012,2,0
iq,2012,3,1
iq,2012,4,3
iq,2012,5,5
iq,2012,6,4
iq,2012,7,1
iq,2012,8,1
iq,2012,9,5
iq,2012,10,1
iq,2012,11,1
iq,2012,12,0
iq,2012,13,7
iq,2012,14,1
iq,2012,15,0
iq,2012,16,6
iq,2012,17,2
iq,2012,18,0
iq,2012,19,0
iq,2012,20,2
iq,2012,21,1
iq,2012,22,0
iq,2012,23,1
iq,2012,24,2
iq,2012,25,0
iq,2012,26,0
iq,2012,27,0
iq,2012,28,0
iq,2012,29,0
iq,2012,30,0
iq,2012,31,0
iq,2012,32,7
iq,2012,33,0
iq,2012,34,5
iq,2012,35,1
iq,2012,36,0
iq,2012,37,0
iq,2012,38,0
iq,2012,39,2
iq,2012,40,0
iq,2012,41,5
iq,2012,42,0
iq,2012,43,0
iq,2012,44,0
iq,2012,45,5
iq,2012,46,4
iq,2012,47,3
iq,2012,48,2
iq,2012,49,5
iq,2012,50,4
iq,2012,51,0
iq,2013,1,2
iq,2013,2,0
iq,2013,3,2
iq,2013,4,0
iq,2013,5,2
iq,2013,6,1
iq,2013,7,1
iq,2013,8,1
iq,2013,9,4
iq,2013,10,1
iq,2013,11,0
iq,2013,12,18
iq,2013,13,1
iq,2013,14,1
iq,2013,15,6
iq,2013,16,0
iq,2013,17,5
iq,2013,18,7
iq,2013,19,0
iq,2013,20,6
iq,2013,21,2
iq,2013,22,3
iq,2013,23,0
iq,2013,24,1
iq,2013,25,1
iq,2013,26,3
